Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,Original_index,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
117,Eventual Cycle Hunter,2.5307174887892376,0.9090134529147982,14.0,1.0,47,0.7652062780269058,0.1438071748878925,0.03595964125560539,0.05502690582959643,0.9972351694770273,0.9835185767977278,0.1364193252662062,0.12882275625543677
118,AdaptorBrief,2.509237668161435,0.5976322869955157,107.0,0.989237668161435,6,0.5452825112107623,0.05234977578475336,0.11719282511210757,0.2851748878923767,0.9728216170017916,0.35552414200152677,0.5516916555153496,0.07420369355589303
119,Second by Tranquilizer,2.4960089686098654,0.6740448430493273,78.0,1.0,165,0.5831748878923765,0.09086995515695069,0.10431838565022433,0.22163677130044848,0.8946513169078858,0.5778387133559948,0.9487364445799797,0.43268383829670837
120,First by Nydegger,2.4956502242152463,0.9523856502242153,14.0,1.0,66,0.7703183856502243,0.18206726457399106,0.03499551569506725,0.012618834080717473,0.9851644070684349,0.9580496766283233,0.8451066928555532,0.6852632341769621
121,Random Hunter,2.4344843049327354,0.9439775784753364,13.0,1.0,136,0.760152466367713,0.18382511210762323,0.02400448430493273,0.03201793721973093,0.9937374206237786,0.9797779465573152,0.42939355349068997,0.14453588708972612
122,UsuallyCooperates,2.4037668161434977,0.9563452914798206,0.0,1.0,196,0.7473677130044845,0.20897757847533627,0.0296457399103139,0.014008968609865469,0.9152595136609333,1.0,1.0,1.0
123,Cycle Hunter,2.396726457399103,0.9325381165919282,10.0,1.0,29,0.741968609865471,0.1905695067264573,0.02547085201793721,0.04199103139013452,0.9930334735135184,0.9727119747582013,0,0
124,First by Graaskamp: 0.05,2.384439461883408,0.688914798206278,103.0,1.0,63,0.5282107623318388,0.16070403587443935,0.12276681614349765,0.18831838565022424,0.9285361485944045,0.764934183325603,0.8563399086465524,0.3614312032353343
125,Defector Hunter,2.3840358744394616,0.9882242152466367,0.0,1.0,37,0.7906547085201795,0.19756950672645732,0.00019282511210762333,0.011582959641255604,1.0,0.9856968923648411,1.0,0
126,Alternator Hunter,2.3735650224215243,0.9782511210762331,3.0,1.0,11,0.7733677130044844,0.20488340807174887,0.008721973094170403,0.013026905829596414,0.9953488372093023,0.9937106918238995,0,0
127,Second by Gladstein,2.368094170403588,0.5770493273542601,57.0,0.0,154,0.494488789237668,0.08256053811659203,0.11553363228699551,0.30741704035874445,0.8784165838419106,0.44701602251218747,1.0,0.37904209141791523
